true_label,pred_label,vision_correct,crop_consistency,condition_consistency,answer_len_chars,empty_or_degenerate
tomato__early_blight,tomato__early_blight,True,False,True,117,False
rice__brown_spot,rice__brown_spot,True,False,True,158,False
cucumber__fresh_cucumber,cucumber__fresh_cucumber,True,True,True,102,False
black_gram__healthy,black_gram__healthy,True,False,False,141,False
tea__red_spot,tea__red_spot,True,False,False,62,False
coconut__gray_leaf_spot,coconut__gray_leaf_spot,True,False,True,168,False
tea__brown_blight,tea__brown_blight,True,False,True,136,False
orange__powdery_mildew,orange__powdery_mildew,True,False,True,135,False
chilli__powdery_mildew,chilli__powdery_mildew,True,False,False,88,False
maize__common_rust,maize__common_rust,True,False,True,137,False
tea__helopeltis,tea__helopeltis,True,False,True,132,False
rice__dead_heart,rice__dead_heart,True,True,True,88,False
orange__spiny_whitefly,orange__spiny_whitefly,True,False,True,97,False
jamun__sooty_mold,jamun__sooty_mold,True,True,True,60,False
rice__bacterial_leaf_blight,rice__tungro,False,False,True,104,False
coconut__bud_rot,coconut__bud_rot,True,True,False,103,False
cucumber__gummy_stem_blight,cucumber__gummy_stem_blight,True,False,True,187,False
onion__purple_blotch,onion__purple_blotch,True,False,True,102,False
maize__gray_leaf_spot,maize__gray_leaf_spot,True,False,False,138,False
papaya__anthracnose,papaya__anthracnose,True,False,True,173,False
rice__dead_heart,rice__dead_heart,True,False,True,93,False
rice__brown_spot,rice__bacterial_leaf_streak,False,False,True,260,False
rice__brown_spot,rice__brown_spot,True,True,True,205,False
betel_leaf__healthy_leaf,betel_leaf__healthy_leaf,True,True,True,84,False
rice__bacterial_leaf_streak,rice__bacterial_leaf_streak,True,False,True,86,False
orange__powdery_mildew,orange__powdery_mildew,True,False,True,119,False
onion__iris_yellow_virus,onion__leaf_blight,False,True,True,185,False
jamun__healthy,jamun__healthy,True,False,False,104,False
rice__dead_heart,rice__dead_heart,True,False,False,75,False
betel_leaf__bacterial_leaf_disease,betel_leaf__healthy_leaf,False,False,False,147,False
onion__leaf_blight,onion__leaf_blight,True,False,True,149,False
coconut__bud_root_dropping,coconut__bud_root_dropping,True,False,True,116,False
tea__red_spot,tea__red_spot,True,False,False,112,False
cucumber__anthracnose,cucumber__anthracnose,True,True,False,162,False
orange__citrus_canker,orange__citrus_canker,True,False,True,137,False
onion__purple_blotch,onion__purple_blotch,True,False,True,143,False
onion__iris_yellow_virus,onion__iris_yellow_virus,True,True,True,140,False
coconut__stem_bleeding,coconut__stem_bleeding,True,False,True,105,False
sunflower__gray_mold,sunflower__gray_mold,True,False,True,153,False
rice__blast,rice__hispa,False,True,False,127,False
jamun__dry,jamun__dry,True,True,True,99,False
maize__gray_leaf_spot,maize__blight,False,False,True,184,False
chilli__cercospora,chilli__cercospora,True,False,True,246,False
sunflower__leaf_scars,sunflower__leaf_scars,True,False,True,115,False
black_gram__powdery_mildew,black_gram__powdery_mildew,True,False,True,105,False
papaya__healthy,papaya__healthy,True,True,False,241,False
coffee__cerscospora,coffee__cerscospora,True,True,False,152,False
coffee__healthy,coffee__healthy,True,False,False,106,False
chilli__healthy,chilli__mites_and_trips,False,False,True,171,False
banana__segatoka,banana__segatoka,True,False,False,54,False
sunflower__fresh_leaf,sunflower__fresh_leaf,True,True,False,133,False
coffee__cerscospora,coffee__cerscospora,True,True,False,208,False
coffee__healthy,coffee__healthy,True,True,False,168,False
orange__yellow_dragon,orange__yellow_dragon,True,False,True,123,False
rice__downy_mildew,rice__downy_mildew,True,False,True,175,False
tea__gray_blight,tea__gray_blight,True,False,False,92,False
cucumber__bacterial_wilt,cucumber__gummy_stem_blight,False,False,False,130,False
jamun__bacterial_spot,jamun__bacterial_spot,True,False,True,170,False
jamun__brown_blight,jamun__brown_blight,True,False,True,198,False
tomato__tomato_mosaic_virus,tomato__tomato_mosaic_virus,True,True,True,168,False
orange__foliage_damaged,orange__foliage_damaged,True,False,False,139,False
orange__healthy_leaf,orange__healthy_leaf,True,True,True,119,False
rice__sheath_blight,rice__sheath_blight,True,True,True,199,False
coconut__bud_root_dropping,coconut__bud_root_dropping,True,True,False,135,False
coffee__leaf_rust,coffee__leaf_rust,True,False,True,150,False
maize__healthy,maize__healthy,True,True,False,85,False
tomato__spider_mites_two_spotted_spider_mite,tomato__spider_mites_two_spotted_spider_mite,True,False,True,157,False
coffee__phoma,coffee__phoma,True,False,True,245,False
orange__yellow_dragon,orange__yellow_dragon,True,False,True,157,False
orange__foliage_damaged,orange__foliage_damaged,True,False,False,180,False
tea__helopeltis,tea__helopeltis,True,False,False,124,False
rice__dead_heart,rice__dead_heart,True,False,True,104,False
tea__algal_spot,tea__algal_spot,True,False,False,210,False
rice__hispa,rice__hispa,True,False,False,113,False
banana__xamthomonas,banana__xamthomonas,True,False,False,69,False
orange__yellow_dragon,orange__yellow_dragon,True,False,False,46,False
tomato__target_spot,tomato__target_spot,True,True,True,85,False
tomato__target_spot,tomato__target_spot,True,False,False,160,False
coffee__cerscospora,coffee__cerscospora,True,False,False,131,False
onion__leaf_blight,onion__leaf_blight,True,False,True,188,False
rice__bacterial_panicle_blight,rice__bacterial_panicle_blight,True,False,False,88,False
chilli__mites_and_trips,chilli__mites_and_trips,True,False,True,144,False
betel_leaf__fungal_brown_spot_disease,betel_leaf__fungal_brown_spot_disease,True,False,False,85,False
onion__purple_blotch,onion__purple_blotch,True,False,True,123,False
jamun__bacterial_spot,jamun__bacterial_spot,True,False,False,87,False
coffee__miner,coffee__miner,True,False,False,103,False
guava__rust,guava__rust,True,False,True,125,False
orange__citrus_greening,orange__citrus_greening,True,False,False,85,False
coconut__stem_bleeding,coconut__stem_bleeding,True,False,True,118,False
cucumber__gummy_stem_blight,cucumber__gummy_stem_blight,True,False,True,138,False
rice__bacterial_leaf_streak,rice__bacterial_leaf_streak,True,False,False,96,False
orange__shot_hole,orange__shot_hole,True,False,False,131,False
coffee__leaf_rust,coffee__leaf_rust,True,True,True,113,False
tomato__bacterial_spot,tomato__bacterial_spot,True,False,True,205,False
coffee__miner,coffee__miner,True,True,False,109,False
chilli__powdery_mildew,chilli__powdery_mildew,True,False,False,85,False
jamun__powdery_mildew,jamun__powdery_mildew,True,False,True,223,False
rice__bacterial_leaf_blight,rice__bacterial_leaf_blight,True,False,True,172,False
tea__healthy,tea__healthy,True,False,False,184,False
orange__die_back,orange__die_back,True,False,True,208,False
chilli__nutritional,chilli__nutritional,True,False,False,76,False
coffee__healthy,coffee__healthy,True,False,False,82,False
jamun__brown_blight,jamun__brown_blight,True,False,True,124,False
tea__healthy,tea__healthy,True,False,False,82,False
orange__citrus_mealybugs,orange__citrus_mealybugs,True,False,True,130,False
orange__citrus_canker,orange__citrus_canker,True,False,True,103,False
rice__bacterial_leaf_blight,rice__bacterial_leaf_streak,False,False,True,111,False
betel_leaf__fungal_brown_spot_disease,betel_leaf__healthy_leaf,False,True,True,258,False
betel_leaf__fungal_brown_spot_disease,betel_leaf__fungal_brown_spot_disease,True,True,True,199,False
papaya__healthy,papaya__healthy,True,False,False,118,False
coconut__leaf_rot,coconut__leaf_rot,True,False,False,102,False
rice__dead_heart,rice__dead_heart,True,False,False,135,False
onion__purple_blotch,onion__purple_blotch,True,False,False,145,False
tomato__tomato_mosaic_virus,tomato__tomato_mosaic_virus,True,True,True,187,False
tomato__tomato_yellow_leaf_curl_virus,tomato__tomato_yellow_leaf_curl_virus,True,True,True,153,False
maize__blight,maize__blight,True,False,True,84,False
cucumber__fresh_cucumber,cucumber__fresh_cucumber,True,True,True,77,False
rice__dead_heart,rice__dead_heart,True,False,False,70,False
rice__healthy_rice_leaf,rice__healthy_rice_leaf,True,False,False,105,False
rice__sheath_blight,rice__sheath_blight,True,False,False,179,False
rice__blast,rice__blast,True,False,True,195,False
coconut__gray_leaf_spot,coconut__gray_leaf_spot,True,False,True,135,False
rice__bacterial_panicle_blight,rice__bacterial_panicle_blight,True,False,True,105,False
sunflower__downy_mildew,sunflower__downy_mildew,True,False,False,63,False
cucumber__downy_mildew,cucumber__downy_mildew,True,False,True,97,False
cucumber__gummy_stem_blight,cucumber__gummy_stem_blight,True,False,False,133,False
maize__healthy,maize__healthy,True,False,False,192,False
chilli__cercospora,chilli__cercospora,True,True,True,155,False
orange__citrus_canker,orange__citrus_canker,True,False,False,135,False
sunflower__gray_mold,sunflower__gray_mold,True,False,True,125,False
rice__healthy_rice_leaf,rice__healthy_rice_leaf,True,True,True,149,False
tomato__target_spot,tomato__target_spot,True,True,False,137,False
tomato__septoria_leaf_spot,tomato__septoria_leaf_spot,True,True,True,121,False
cucumber__fresh_cucumber,cucumber__fresh_cucumber,True,True,True,73,False
betel_leaf__bacterial_leaf_disease,betel_leaf__bacterial_leaf_disease,True,False,False,130,False
tomato__target_spot,tomato__target_spot,True,True,True,127,False
cucumber__pythium_fruit_rot,cucumber__pythium_fruit_rot,True,False,True,123,False
sunflower__leaf_scars,sunflower__downy_mildew,False,False,True,153,False
coconut__leaf_rot,coconut__leaf_rot,True,True,True,141,False
papaya__bacterialspot,papaya__curl,False,False,False,99,False
tea__red_spot,tea__red_spot,True,False,False,71,False
tea__brown_blight,tea__brown_blight,True,True,True,140,False
black_gram__healthy,black_gram__healthy,True,False,False,106,False
rice__brown_spot,rice__brown_spot,True,False,True,157,False
banana__xamthomonas,banana__xamthomonas,True,False,False,201,False
orange__shot_hole,orange__shot_hole,True,False,True,127,False
guava__rust,guava__rust,True,False,False,72,False
jamun__healthy,jamun__healthy,True,True,False,121,False
chilli__cercospora,chilli__cercospora,True,False,True,105,False
cucumber__fresh_cucumber,cucumber__belly_rot,False,False,False,101,False
